,ucs,gbfs-h1,gbfs-h2,astar-h1,astar-h2,
total no solution,35,0,0,0,0,
percent no solution,70.0%,0.0%,0.0%,0.0%,0.0%,
total solution length,125,842,854,536,530,
average solution length,8.333333333333334,16.84,17.08,10.72,10.6,
total search length,47518,21557,16071,259142,621545,
average search length,3167.866666666667,431.14,321.42,5182.84,12430.9,
total cost,167,1125,1141,637,637,
average cost,11.133333333333333,22.5,22.82,12.74,12.74,
total execution time,385.12988781929016,1.503411054611206,1.665085792541504,19.55892014503479,68.04313015937805,
average execution time,25.675325854619345,0.03006822109222412,0.033301715850830076,0.3911784029006958,1.360862603187561,
# of optimal paths,9,3,4,21,22,